tract,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6
06001400100,0.09536863125991724,-0.01049086913810094,0.01421203658493679,-0.00108456493046357,2.633710723377793e-5,1.3631072187869668e-7,-9.822116928431746e-9
06001400200,0.05601178918537259,0.0013616321712404,0.00627378314094772,-1.5940680690994084e-4,-1.258841613498867e-5,7.055911675200985e-7,-1.0269425099341624e-8
06001400300,0.04107338732872181,0.0010532271052416,0.00477156648531741,-2.1802364524871044e-4,6.576226251650306e-6,-1.666635660019531e-7,1.6054492627100632e-9
06001400400,0.02954252373244183,6.148479715105213e-4,0.00379609875475886,-2.49197583127816e-4,2.224344378785058e-5,-1.009433633181236e-6,1.4830122374160355e-8
06001400500,0.02548327752779155,0.00797337578156261,7.412775170737942e-4,2.9510917477247096e-4,-1.8762494962965312e-5,3.524820588307071e-7,-1.7798433359806011e-9
06001400600,0.02877548742576653,0.00731758418735813,0.00101736860925822,3.4709121398793957e-4,-2.835661254853732e-5,8.084034845106414e-7,-8.641705137374941e-9
06001400700,0.02125191457397291,-6.718455551828754e-6,0.0026772748359918,-1.685973883214429e-4,2.0295971721756863e-5,-9.507562253395254e-7,1.3378955808496329e-8
06001400800,0.02479680388648763,-0.00184431194177669,0.0037250983273924,-3.213213523116535e-4,3.0062261538885453e-5,-1.242812071576387e-6,1.6707452263151597e-8
06001400900,0.0256541909271566,-0.0086997409567405,0.00522996841968512,-5.226288735803489e-4,3.806584716888586e-5,-1.2290001751842605e-6,1.3043689054877658e-8
06001401000,0.01780127435077157,0.00690184131129656,7.455169300381349e-5,3.0024503904806007e-4,-1.3592389272399286e-5,9.68098094310018e-8,1.678713081646101e-9
06001401100,0.02209188636631917,-0.00223553509304995,0.00439127033770169,-6.125367748067567e-4,6.127224030642006e-5,-2.5140831863674564e-6,3.45881785928686e-8
06001401200,0.02899124800996677,0.0028411798010789,0.00262808096202058,4.372390636784237e-6,-1.6626521665775989e-6,-4.642664766694552e-8,1.0875774482502023e-9
06001401300,0.01252971949680272,-0.00515809926069934,0.00432961211292174,-7.861365207400537e-4,8.374246453277398e-5,-3.4282490250061443e-6,4.6788457016090925e-8
06001401400,0.02671894273287063,-0.00809871699239577,0.00532371594850952,-5.468544645634269e-4,4.076637147017344e-5,-1.3596161325794867e-6,1.5195875258201016e-8
06001401500,0.0313912032301827,-0.00416260578444863,0.00472670657610287,-3.5655086223300957e-4,2.4579339716657087e-5,-8.641744018362185e-7,1.0237944695617069e-8
06001401600,0.0272815852593881,-0.01356416094928916,0.00696310735231096,-8.559122199703729e-4,6.229437506515956e-5,-1.9605449985023e-6,2.08994798320531e-8
06001401700,0.01463645849677893,0.0080426488536203,-3.1100418312546376e-5,1.988815981635143e-4,1.186646927026479e-6,-5.861355796710256e-7,1.2001841102412832e-8
06001401800,0.02495198159239703,-0.0028413358803797,0.00380112611689077,-3.1817365040239247e-4,2.72763456939704e-5,-1.0482004048261076e-6,1.3070489104001337e-8
06001402200,0.02460474588787719,-0.00233485856241476,0.00343223288597988,-2.2366133608359216e-4,1.8573067901415183e-5,-7.173398611329053e-7,8.606481274030425e-9
06001402400,0.0341119978786492,-0.01516750280382354,0.00851348162969007,-0.00108374829101679,7.77855980460742e-5,-2.4794835461869685e-6,2.7636616676915808e-8
06001402500,0.02549087642786068,-0.02459743463650782,0.01003859726695908,-0.00150550888663475,1.139241643728088e-4,-3.6324266664895e-6,3.9969090082442466e-8
06001402600,0.02092605874950815,-0.02209401815946343,0.00897501089571951,-0.00140404536334738,1.0884222467998638e-4,-3.480432759415679e-6,3.7988864352558055e-8
06001402700,0.02228149648942361,0.00165671844756823,0.00240265432255858,-1.1255522345237028e-4,1.6506164624314923e-5,-8.636714030194503e-7,1.2911883321666048e-8
06001402800,0.00601701822477907,-0.00155348467173583,0.0031027421837219,-7.357801213437059e-4,9.012929613430186e-5,-3.9091369440830395e-6,5.5382259947130886e-8
06001402900,0.01809012314586425,-0.01858855056360311,0.00841795562551514,-0.00143193995679611,1.2246587241772952e-4,-4.326211167153608e-6,5.291314395962457e-8
06001403000,0.01710674267286672,-0.016546912049119,0.00752343035834705,-0.00125577203500026,1.073516858035012e-4,-3.759527440781777e-6,4.5238161290899145e-8
06001403100,0.00989248375463737,-0.00543305723484921,0.0049554306496531,-0.00104581593810429,1.1534563076789964e-4,-4.8596229683650715e-6,6.854894349165803e-8
06001403300,0.01288663906353863,-0.00542583584890765,0.00450471881326192,-8.121173878464966e-4,8.586964271809939e-5,-3.515016849255907e-6,4.8097059832334966e-8
06001403400,0.01342246347826897,-0.01143506543209526,0.00651952276665721,-0.00122680036831705,1.1942547103200136e-4,-4.655595918587325e-6,6.200772078251431e-8
06001403501,0.01442824697205888,-0.01001219412210992,0.0055587238957281,-9.490965536475582e-4,8.999969479404653e-5,-3.4089832252999843e-6,4.375661852909685e-8
06001403502,0.01534698727747665,-0.00931545693884155,0.00556238228528215,-9.405662570645412e-4,8.997473275787646e-5,-3.456322646021578e-6,4.506476599081051e-8
06001403600,0.00827316829710316,-0.00378912931382392,0.00378293624760348,-8.03238149675954e-4,9.142267809853714e-5,-3.837466016247826e-6,5.323665953945907e-8
06001403701,0.01230895734755053,-0.01097964501368649,0.00639596024061732,-0.00124050919019741,1.2280080961432976e-4,-4.832643721016546e-6,6.484266979288853e-8
06001403702,0.00759862078331187,-0.00115768252876463,0.00357263028000283,-8.360286999569115e-4,1.0238409538202812e-4,-4.524901454719806e-6,6.55943590946567e-8
06001403800,0.02823388345766113,-0.00106009995802655,0.00462874325472799,-5.145146259300752e-4,4.688210247887196e-5,-1.9059820311268813e-6,2.627774139440781e-8
06001403900,0.01026488679870324,0.00576014922393533,7.262493118944885e-4,-1.0419345186159442e-4,3.099357554233747e-5,-1.6892849587586903e-6,2.612105123882437e-8
06001404000,0.01255852684401531,-0.00254743514513714,0.00336898335086974,-5.706864684866972e-4,6.460812410308134e-5,-2.719280292520589e-6,3.7447688410133325e-8
06001404101,0.02229828652264152,0.00236357257448536,0.00276402261516448,-2.2784021961805935e-4,2.820537294858704e-5,-1.350224102958418e-6,2.0031982813184258e-8
06001404102,0.02088931875873664,-0.00709934118313054,0.00571061392572161,-8.713211157545011e-4,8.092548005087248e-5,-3.1264921942351007e-6,4.1308908498560906e-8
06001404200,0.088386120446299,-0.00607591753111419,0.01230231166900974,-8.764747063357426e-4,1.855233198569139e-5,1.9683812150625885e-7,-8.638838587731552e-9
06001404300,0.08485723294566123,-0.00903885962448937,0.0127891108453722,-9.858156509471197e-4,2.859528097492164e-5,-1.6999111857870562e-7,-3.97354944370454e-9
06001404400,0.0752247500552948,-0.0040711698226255,0.01001860447946953,-6.307613510219782e-4,8.114645562818599e-6,4.104245293487824e-7,-1.0533337731898914e-8
06001404501,0.09316102020238998,-5.203052414543267e-4,0.0111114094717859,-5.646537753080698e-4,-1.005256413080552e-5,1.2276875324918138e-6,-2.158119390317726e-8
06001404502,0.07038653375275404,0.00451417363601867,0.00629803129492826,1.1032627768640356e-4,-4.908013960846917e-5,2.286221633075139e-6,-3.278968065669268e-8
06001404600,0.07071567170425726,0.00561755098188445,0.00600844469462083,1.5570314763049784e-4,-5.280859145423477e-5,2.426209992990861e-6,-3.470143059307701e-8
06001404700,0.079413931584428707,-0.00133441518780968,0.00923197750210366,-3.234422916055796e-4,-2.155627317322552e-5,1.4861188832222276e-6,-2.4009255955627182e-8
06001404800,0.04073177369222508,-0.0054217173177572,0.0062963465681599,-4.725312232080635e-4,2.33528687745987e-5,-6.00234993568559e-7,5.139455876283788e-9
06001404900,0.03656763350710158,0.01039073718904584,8.435799484906609e-4,5.630947590205265e-4,-5.5496093501871554e-5,1.9484624575990905e-6,-2.453416111059569e-8
06001405000,0.05109260802622754,0.00243577215707419,0.0051735484718883,-3.100432372189139e-5,-1.997010728113989e-5,9.459373761105496e-7,-1.3574921849647384e-8
06001405100,0.08414456939181177,1.1955367802215831e-4,0.00948578402882468,-3.21809308153652e-4,-2.5171608380335605e-5,1.6812408270388912e-6,-2.6950871326144328e-8
06001405200,0.01821955282432196,0.00135859353977977,0.00250425197235721,-2.5334574958245663e-4,3.384337303591691e-5,-1.598817630639685e-6,2.3367167434230653e-8
06001405301,0.01159103027515723,-0.00302156410716845,0.00370032375306754,-6.945668815206982e-4,7.799096525310747e-5,-3.27223417881004e-6,4.5289132270443954e-8
06001405302,0.01609869557569738,-0.01325805572225384,0.00683670153270893,-0.00118207696928901,1.079595523437074e-4,-4.016894401659726e-6,5.129503801165144e-8
06001405401,0.01833474626038099,-0.0127713857649666,0.00628641160729601,-9.709998659719006e-4,8.505594483250849e-5,-3.0602022333638996e-6,3.752232062633513e-8
06001405402,0.01867333333438612,-0.00999987055956855,0.0055431454611228,-8.201066759925318e-4,7.339497934373855e-5,-2.6938422350303872e-6,3.349396757198793e-8
06001405500,0.01730477368637157,-0.00435319766299841,0.00351850062304228,-4.173740706233767e-4,4.261782417841625e-5,-1.7086049146719757e-6,2.218569716045709e-8
06001405600,0.01990569533210803,-0.00645951783356283,0.0043112062286156,-5.129965397841225e-4,4.683610532477008e-5,-1.7662509878015895e-6,2.2033447967055047e-8
06001405700,0.02634951402791298,-0.01324544205474438,0.00680665372349844,-8.579288853387555e-4,6.671019959760692e-5,-2.2579390838500027e-6,2.6252623575275958e-8
06001405800,0.03243346101345022,-0.01920217389130213,0.00893286146714562,-0.00112922779822274,8.08717150169022e-5,-2.5592064821498206e-6,2.81505953656194e-8
06001405901,0.02971174299898351,-0.0148821758642572,0.00727703759224335,-8.509488114709843e-4,6.312570214448865e-5,-2.095565613693333e-6,2.4018748970505235e-8
06001405902,0.03131885556243408,-0.0156193185308441,0.00768889914146438,-9.096810081057952e-4,6.475468398694007e-5,-2.0480545816380185e-6,2.226898608860553e-8
06001406000,0.02018411971202035,-0.01490012666637197,0.00715053218463129,-0.00109943950185209,9.31797812990814e-5,-3.2900327657550613e-6,3.9932372521541985e-8
06001406100,0.0251886919923971,-0.01115839241957565,0.00642200594643246,-8.579793921784078e-4,7.284955585940449e-5,-2.6656717311760437e-6,3.354331486347582e-8
06001406201,0.02709754921136554,-0.01814023212173322,0.00812436339983384,-0.00108168908914142,8.104188797628926e-5,-2.6139871395963835e-6,2.8988451165634986e-8
06001406202,0.02880635155040239,-0.02462746031309503,0.0106400753975016,-0.0015937220525173,1.2425993748954025e-4,-4.171457907873052e-6,4.9134215868837594e-8
06001406300,0.03228232430172911,-0.01253637760029603,0.00669746915987162,-6.625862188906309e-4,4.5858630149040065e-005,-1.4946527183964676e-6,1.680333468141984e-8
06001406400,0.03525886751949015,-0.00284929694900959,0.00464540549578064,-2.638164147376027e-4,1.4341666822331883e-5,-4.819099168662803e-7,5.465828745644879e-9
06001406500,0.02410667296027862,-0.01140410550260893,0.00567523211805372,-6.459910835175602e-4,4.887887841301051e-5,-1.5829090915767045e-6,1.6930535626206874e-8
06001406601,0.02872176149061772,-0.01543351064049902,0.00749350201167467,-9.303227605957326e-4,6.733842827802917e-5,-2.113078463622434e-6,2.253407065277466e-8
06001406602,0.02252245338085186,-0.00859457629323779,0.00507278345877933,-6.000745417024863e-4,4.979016134666264e-5,-1.7525778964949428e-6,2.0593217396442906e-8
06001406700,0.03976163512821984,0.00710621318401734,0.00181468319550657,4.394860982775361e-4,-4.963505075542798e-5,1.863778388019963e-6,-2.4779471583513782e-8
06001406800,0.03945731136092809,0.00988448862729603,7.992973977475086e-4,6.442340752575429e-4,-6.579982099729844e-5,2.402516679650327e-6,-3.1244101717035844e-8
06001406900,0.04163204793671564,-1.6508577456853944e-4,0.00468470194906551,-1.6408420499769107e-4,-2.3671989642809647e-7,1.586009953366683e-7,-3.6098068015378956e-9
06001407000,0.02527372183246783,-0.00897398938658063,0.00482981569428971,-4.232300452210107e-4,2.8547608246357652e-5,-8.371924614239534e-7,7.294670300999633e-9
06001407101,0.03119580709539533,-0.01850578633574256,0.00826172286198278,-9.868720341143016e-4,6.796119221480719e-5,-2.0473644253098464e-6,2.0871160497448967e-8
06001407102,0.03578867520550866,-0.01252530860099631,0.00724569860850345,-7.447568684588396e-4,4.7690065980316994e-5,-1.3975285796965846e-6,1.380973609964338e-8
06001407200,0.02845584037090773,-0.01772093130997732,0.00808969422946666,-0.00104437657524608,7.735583333326534e-5,-2.489092829286564e-6,2.7557148822126454e-8
06001407300,0.02946963129484118,-0.00746505510912367,0.00500436016677521,-4.0800461826731224e-4,2.4699027734421342e-5,-6.68142599632524e-7,5.100358451989026e-9
06001407400,0.02850815185309756,-0.00865494165718534,0.00501937915559679,-3.89749404154945e-4,2.528283320188078e-5,-7.812950162276928e-7,7.631483316463577e-9
06001407500,0.03028898710632647,-0.0226857967072281,0.00978829012947258,-0.00134824845405038,9.889338775842495e-5,-3.1320528188790823e-6,3.4400460786894175e-8
06001407600,0.02244939009614093,0.00584320260052001,3.211298350092113e-4,3.927379856222774e-4,-2.9998820150054617e-5,9.132045399707014e-7,-1.1189344169698936e-8
06001407700,0.02398111151076971,0.00780073284168655,-4.44231775390807e-4,6.024420819061272e-4,-5.1262956873778893e-5,1.7772168934978753e-6,-2.3397176035525592e-8
06001407800,0.03287362719536754,0.00303179578345379,0.00205377467401486,2.760776844427829e-4,-3.381626544905866e-5,1.362764544580061e-6,-1.979329986739151e-8
