tract,commute_yr_a_int,commute_yr_a_pw1,commute_yr_a_pw2,commute_yr_a_pw3,commute_yr_b_int,commute_yr_b_pw1,commute_yr_b_pw2,commute_yr_b_pw3,commute_yr_c_int,commute_yr_c_pw1,commute_yr_c_pw2,commute_yr_c_pw3,commute_yr_d_int,commute_yr_d_pw1,commute_yr_d_pw2,commute_yr_d_pw3
06019004601,79.20202967728483,-36.583676750704825,5.598696255806343,-0.10530473210041241,23.337187870502785,-10.147075972196989,1.9759097477206806,-0.04359645397227547,15.574189659185489,-7.248173943719646,1.1483314871010473,-0.02271566907263386,42.99305475383754,-19.43004753589058,3.126256983794389,-0.06194480635445138
06019004602,70.55388287619424,-31.368894223116406,5.392909267975226,-0.10950689846041142,11.426883992491929,-4.934294158010996,0.9545863687460537,-0.021071624733083934,10.25702094286221,-4.722382965402009,0.766315044890511,-0.015347666007921054,24.02844119682752,-10.812537807056671,1.7588985998034121,-0.035137074141145835
06019004701,42.7359623577138,-19.954279424312947,2.899034388669585,-0.05249636647777208,8.8890290032573,-3.809160376417306,0.7554445364467011,-0.016831161813813025,4.609062709496699,-2.1753354912899963,0.34772756218299206,-0.006973832659609333,12.617074707203727,-5.621381249264155,0.9406929302571775,-0.019147791548281577
06019004703,21.978926409894463,-10.319226947213572,1.509137852923377,-0.027523516415948975,5.516233795716623,-2.3727167360473143,0.4668333433011185,-0.010348828352743224,2.3077706004667013,-1.0632192341261628,0.17157418211085682,-0.0034323113173365585,2.2548535694974943,-1.0521648183907844,0.15546193312893067,-0.0029154807466104365
06019004704,22.052862316209644,-10.447419134297466,1.4450461637657874,-0.025090885329156428,5.182702766355839,-2.3044111442139865,0.426603236341012,-0.009229136107974798,1.3409403179889028,-0.6191162640824965,0.09354810478966127,-0.0017807380741425216,6.687949085052415,-3.0713915015328572,0.4542744006536268,-0.00837288061521413
06019004801,21.372951932203108,-10.028792818982998,1.421141664074147,-0.025032458250643173,2.59351560100719,-1.1149964585337602,0.2190829952735841,-0.0048510237968144325,1.8432820802771523,-0.8516028729534664,0.13590603743439086,-0.0027190615097718307,2.771945461648089,-1.247294289250895,0.20000080745640605,-0.003931970606081776
06019004802,45.949413122531666,-21.57377426737599,3.057523108619243,-0.05403643221702274,10.967592829217189,-4.834775993028772,0.9431240049494838,-0.020934777325192725,3.5154530709679737,-1.6315230179836666,0.25181083485528244,-0.004872823187409647,12.469693191430652,-5.6628390641818145,0.9037645713247034,-0.017862309777576385
06019004901,555.9116862725392,-255.9402175211119,40.91625143234556,-0.800000869188341,97.6839490427374,-42.77072774162205,8.229092026057925,-0.18115896016745564,89.03756377445531,-41.710614062313766,6.418436733675769,-0.12440168105164838,88.11875972976303,-40.63868628603858,6.370873168967929,-0.12468153492019968
06019004902,2.741416824531867,-1.1718667790210793,0.1877740663977979,-0.003501772203692068,0,0,0,0,0,0,0,0,0.47370088031514307,-0.21961524990153816,0.03543419420314044,-7.213923214090644e-4
06019005000,202.56677455264892,-93.25259979627634,14.5186668420044,-0.2773085054370674,22.662561476097615,-10.149852512368302,1.922135889258873,-0.042300317879165654,21.7837461900398,-10.160503438884323,1.600532193626579,-0.03150411823207622,98.21978024559448,-43.962014245729726,7.188525102375865,-0.14382482609633196
06019005100,146.444888920155,-67.92599404241554,10.366343403214488,-0.1953799951845025,19.25967075543797,-8.375248583837411,1.6275543913381783,-0.03611237135819151,17.033140014776603,-7.965544868647224,1.2162670989487612,-0.02334453266732756,76.15165777230827,-33.998695822919004,5.706303241187472,-0.11635690915860812
06019005202,82.00749076992719,-38.19737418733428,5.667407834234596,-0.104260148557938,9.225725609972443,-4.176365585957091,0.7154543020175386,-0.014834780648146265,6.617168211328972,-3.104151871645264,0.4712325262545216,-0.00896906738148721,24.68002791461382,-11.327426721066088,1.7456915051003792,-0.03371857355575317
06019005203,76.24127529534827,-35.33429923418889,5.338765680670805,-0.09953961906560652,8.47374476342505,-3.8561596710843165,0.6657293996989435,-0.01388686767785953,8.473598573185205,-3.985196109112786,0.5809375548326519,-0.010713278068145841,24.294533260855115,-10.998345191140396,1.7781472781000875,-0.03549462743076505
06019005204,49.162070057950515,-22.515603667976517,3.588763490075079,-0.06985640686078728,3.2299583925739928,-1.450982488337664,0.27122332033126045,-0.005922628550417223,4.970508873408327,-2.347110042911263,0.3607972102553311,-0.00703211151041328,20.861710990070534,-9.617281646913591,1.498967320727611,-0.02913035576250007
06019005301,72.28298534275876,-33.41241367728511,5.195521167290065,-0.09938496819201549,8.100728268344993,-3.6687993266211967,0.6581473507198283,-0.014138454538393628,5.276423922802876,-2.4924472813859944,0.3732834172016437,-0.00703699194074478,16.55900081320575,-7.579365695810481,1.1781265269497005,-0.022811419443763952
06019005302,349.8085517336207,-159.6483859943097,25.60326654734933,-0.49913892000185733,33.14254733212895,-14.949439157436155,2.7218517181602353,-0.05890283634088198,37.23551283559064,-17.385670301968226,2.7319311407104854,-0.053658021115761005,233.7653123486981,-101.65144838313354,17.875067180465965,-0.37436043626551224
06019005304,87.10912572248186,-39.65347953149793,6.382603373897246,-0.12480335432432331,11.188367438969888,-5.058369578914699,0.8779283050811763,-0.018406354313971193,9.126474003162615,-4.2504380230407115,0.6634267319795555,-0.012935975702786687,41.06170089588444,-18.40011084490747,2.983697272343844,-0.05929248944663663
06019005305,23.272749276318837,-10.901740549318307,1.6720185143069775,-0.031747319633295815,1.4491559000026535,-0.664332834837954,0.11261123644351839,-0.0023323422521775027,1.3191291323295828,-0.6086422975085396,0.09461996813274859,-0.0018469828114722605,5.5862455604623404,-2.6145290364091616,0.3951944967936685,-0.007495462040540513
06019005403,162.25123225344166,-72.83639867132372,12.349192484003101,-0.24956251266037152,16.93199717337763,-7.55130970552789,1.407405014140819,-0.0307502977877156,22.457531273611657,-10.465495792069767,1.6570448596843605,-0.032752634984912404,106.25508676551874,-46.55598323715579,7.9896883483535435,-0.16467202316290416
06019005405,91.55079253978141,-41.57732898521589,6.771749306067899,-0.13311149194412797,13.821448099153788,-6.3469323137658575,1.0734231399929484,-0.022236436529324853,17.387047794185154,-8.133533827456148,1.2639548682007171,-0.024556087186448413,29.585714593336355,-13.389537882374604,2.1235346378050184,-0.041673576853891996
