county,county_geoid,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6
Alameda,06001,14.808147464780577,0.12625707910297604,1.6146956184509123,-0.05705228291481887,4.59724148757766e-4,2.0427197317509187e-5,-6.67130422668906e-7
Alpine,06003,0.04860759647965505,-0.01296067303957809,0.0084608409062168,-7.226863359928998e-4,3.630743586595389e-5,-8.907712713006885e-7,7.255199006689837e-9
Amador,06005,0.35667812115168995,-0.11670913207869502,0.06508710682718556,-0.005354795997900171,2.872935736297458e-4,-7.517020173458291e-6,6.349117762529943e-8
Butte,06007,1.8504477791441154,-0.8312200128387491,0.4131781959534193,-0.0442701703004361,0.002876792498165412,-8.527848630627812e-5,8.635493932752027e-7
Calaveras,06009,0.4026492561362978,-0.16515358172026157,0.08494881746306437,-0.008454888678472425,5.172989987165941e-4,-1.4981112136733116e-5,1.5030706391194644e-7
Colusa,06011,0.1984560813206317,-0.09173106640703502,0.04434834215885088,-0.004588225767606566,2.869495871641092e-4,-8.39442233027168e-6,8.524235436369845e-8
Contra Costa,06013,10.336203694041012,-0.20658604473517428,1.1329592662526833,-0.03370385927660552,-0.0016313587157183312,1.190538948084315e-4,-2.0851439347155676e-6
Del Norte,06015,0.22253481185237228,-0.13148752143424489,0.05931664728019309,-0.007237487945178672,5.045522770438972e-4,-1.5413132629811972e-5,1.6070709619590174e-7
El Dorado,06017,1.88381280367423,-0.17411860635529197,0.22587610685197448,-0.007302616813371672,-1.970338301675433e-4,1.8475707879192504e-5,-3.560167938738634e-7
Fresno,06019,7.072493770177913,-3.059064783054579,1.5123355221401853,-0.15053960992209903,0.009142649151739131,-2.5050450206392036e-4,2.2229572444739417e-6
Glenn,06021,0.22663164299003286,-0.11590601636192896,0.05466578020990343,-0.006137975233547511,4.0396009054982293e-4,-1.2130762303653404e-5,1.2651334594295638e-7
Humboldt,06023,1.067270571113512,-0.5499989147619899,0.25585213357675807,-0.028412408557452085,0.0018502428088072362,-5.403105798489027e-5,5.348459202199947e-7
Imperial,06025,1.1207439738562088,-0.6451203123422017,0.2906027001880754,-0.03410279062592394,0.00230520277707303,-7.020190901585201e-5,7.425800675965789e-7
Inyo,06027,0.20079154675861483,-0.07563661203305146,0.03980829434330153,-0.003677859788505815,2.30379953851268e-4,-6.739702643206584e-6,6.520065131359642e-8
Kern,06029,5.262875870044926,-2.622858715260085,1.2359909501176845,-0.13396811350923457,0.008653278500010199,-2.5302983255177583e-4,2.514846087415423e-6
Kings,06031,0.9127961290453869,-0.44171073693500434,0.2085523095293479,-0.02202533473528905,0.0014088857307928424,-4.120511676346139e-5,4.103974004745215e-7
Lake,06033,0.5091074764187026,-0.30968552114046277,0.1376945444707678,-0.016732879886116332,0.0011629494766738286,-3.59819235762868e-5,3.858415529734614e-7
Lassen,06035,0.31328501458987035,-0.14733906038273084,0.07132346904156066,-0.00764026758797013,5.108098905905077e-4,-1.5684884541994566e-5,1.6601323555271396e-7
Los Angeles,06037,83.72536617693642,-21.60585703962306,14.875293067047386,-1.3560334888352414,0.08450259327242428,-0.0025247509925777926,2.5577252236532123e-5
Madera,06039,0.9097925455574565,-0.42273061925618655,0.20265235212755986,-0.02061488474055324,0.0012667649557780122,-3.636762153493019e-5,3.594729650069989e-7
Marin,06041,2.896809973622231,-0.06557117103208192,0.34945258589776096,-0.018020666399143143,2.0567624575813434e-4,1.1008020241142542e-5,-2.9906642589534966e-7
Mariposa,06043,0.20909644406793632,-0.11578266123952814,0.05231385134755563,-0.005877591121018091,3.9405496698285145e-4,-1.1993412486241858e-5,1.262459885638253e-7
Mendocino,06045,0.7277863892943629,-0.36143078001968254,0.1718455157895227,-0.018929153997126733,0.001247645396168078,-3.751890411597136e-5,3.894075828783266e-7
Merced,06047,1.9561455068962814,-0.9978162895709313,0.4773202311643389,-0.05508832439958395,0.0036422357054762917,-1.0999001806359386e-4,1.1642793616914809e-6
Modoc,06049,0.1270848347205081,-0.0896153804870362,0.03720901873763301,-0.004628197865094523,3.264670808376003e-4,-1.0145064535818037e-5,1.0883714046438526e-7
Mono,06051,0.09326805386837836,-0.030429736949058976,0.01712930252904072,-0.0014358399188038676,8.910429331859702e-5,-2.6002393772376945e-6,2.412769328299124e-8
Monterey,06053,3.4905232422423524,-0.7569308692257155,0.5537434212803054,-0.040830967587035145,0.0021187129915758622,-5.570419188322095e-5,4.6011237509725457e-7
Napa,06055,1.8546569424681383,-0.02100619253764767,0.19101332571435045,-0.003489833331962939,-4.4829314718077516e-4,2.6039271583934106e-5,-4.349696688351654e-7
Nevada,06057,0.8562209797693049,-0.18801090144966867,0.13279412371600693,-0.009078432284458463,3.724684985381785e-4,-6.839700424227949e-6,1.4371703784744498e-8
Orange,06059,25.397586990493146,-1.0667778920976205,2.9623225867151146,-0.12538839159285356,0.001633009282785384,4.724797833978058e-5,-1.727249429013285e-6
Placer,06061,3.3815459326536077,0.0023909073057273383,0.30092140537672507,0.00838091813242217,-0.001992873111238587,8.859288405304708e-5,-1.3394985896646383e-6
Plumas,06063,0.23851344647573253,-0.08525238091852125,0.04570439697353041,-0.0040529087746136,2.4861135516969957e-4,-7.2236994045716565e-6,6.9144755644858e-8
Riverside,06065,17.417622483207182,-4.793594184110623,2.952584758844193,-0.22695222840818802,0.011607776290517645,-2.8724243539602923e-4,2.1006746325723977e-6
Sacramento,06067,10.850965103311268,-2.075852248506809,1.5516755150520445,-0.08237638863369008,0.002774370659802251,-2.45585843943215e-5,-7.28284436172046e-7
