county,county_geoid,totzevs_yr_int,totzevs_yr_pw1,totzevs_yr_pw2,totzevs_yr_pw3,totzevs_yr_pw4,totzevs_yr_pw5
San Mateo,06081,212.6981869702657,17226.231072425475,-3593.9364981570266,524.4311430415622,-23.22071696335247,0.32697144816667095
Santa Barbara,06083,-569.7002495687357,7002.365383070901,-1533.6117033912537,219.1668848442224,-8.768458283802564,0.108763729439144
Santa Clara,06085,-1131.9020965765967,42569.88063258162,-8985.031603123405,1291.3134095690598,-56.54177644055402,0.7883372516005203
Santa Cruz,06087,89.62507354972298,5104.401656044536,-1092.5941369133452,161.43061300482447,-6.802658742761057,0.08996328616399807
Shasta,06089,-308.6575464139966,2328.8273835160167,-491.19285651844376,67.4296588765649,-2.137510158632817,0.016647444189983554
Sierra,06091,-15.96500323755205,61.791134680398095,-14.98894865197062,2.091982042640684,-0.07979117682818687,9.279706071971532e-4
Siskiyou,06093,-185.50542721307355,611.9632733123965,-125.84022043615582,15.140655402363013,-0.34344735035870555,-1.6494640729914736e-4
Solano,06095,-426.0903243412101,7964.192484355759,-1840.8243802671136,274.0933996363646,-11.597877037110313,0.15421685548315922
Sonoma,06097,-25.57777450078697,9012.545790688175,-2017.7759297781668,306.14319231502094,-12.876155106734801,0.16898859253586943
Stanislaus,06099,-722.8478799042307,6535.045406436816,-1441.0245780975995,206.0414218697107,-7.398842901839072,0.07644738140795418
Sutter,06101,-163.84273981806624,1249.460042353846,-276.48926783498695,39.06694309620455,-1.3912131023249237,0.014200984436743776
Tehama,06103,-238.62092740288432,770.0222645026711,-156.5593321780585,18.40917483507946,-0.40352131809287595,-5.69373724490135e-4
Trinity,06105,-55.924518039668996,146.86272512970658,-27.647075758468027,2.870563441105631,-0.012580511753032982,-0.0015758167764015384
Tulare,06107,-739.8962645115649,4339.083818174186,-888.7584147455558,117.02230864230756,-3.2462607496972624,0.015328247881054613
Tuolumne,06109,-129.78311938533054,903.3230887864964,-196.57554425277942,27.302955416373955,-0.961511307825307,0.009647638664853547
Ventura,06111,-494.57743665603726,15472.570362420496,-3483.778230350372,517.9445075872112,-22.22006089056063,0.3006114321819737
Yolo,06113,108.43170617350627,2834.89411516771,-588.7682690876829,88.97345425759083,-3.4844866044858853,0.04116975535214345
Yuba,06115,-197.75907107321896,1042.7678280504404,-236.9740642633215,33.01523723660091,-1.171662399177124,0.011947745744695516
