GEOID,N,Y,total_hh,home_charge_perc
06001406000,1019,532,1551,0.34300451321727915
06001406100,861,614,1475,0.41627118644067795
06001406201,842,643,1485,0.432996632996633
06001406202,820,517,1337,0.38668661181750186
06001406300,495,760,1255,0.6055776892430279
06001406400,324,424,748,0.5668449197860963
06001406500,990,958,1948,0.4917864476386037
06001406601,871,875,1746,0.5011454753722795
06001406602,516,425,941,0.45164718384697133
06001406700,609,1569,2178,0.7203856749311295
06001406800,332,1028,1360,0.7558823529411764
06001406900,590,961,1551,0.6196002578981302
06001407000,796,1195,1991,0.6002009040683074
06001407101,453,603,1056,0.5710227272727273
06001407102,466,889,1355,0.6560885608856089
06001407200,988,939,1927,0.48728593668915415
06001407300,334,396,730,0.5424657534246575
06001407400,525,602,1127,0.5341614906832298
06001407500,691,667,1358,0.49116347569955815
06001407600,877,1246,2123,0.586905322656618
06001407700,343,1308,1651,0.7922471229557844
06001407800,177,571,748,0.7633689839572193
06001407900,262,864,1126,0.7673179396092362
06001408000,160,877,1037,0.845708775313404
06001408100,744,1973,2717,0.7261685682738315
06001408200,891,1070,1961,0.5456399796022438
06001408300,443,1385,1828,0.7576586433260394
06001408400,476,681,1157,0.5885911840968021
06001408500,598,1013,1611,0.6288019863438857
06001408600,673,1138,1811,0.6283821093318609
06001408700,902,1553,2455,0.6325865580448066
06001408800,1201,1024,2225,0.4602247191011236
06001408900,504,512,1016,0.5039370078740157
06001409000,351,784,1135,0.690748898678414
06001409100,151,524,675,0.7762962962962963
06001409200,315,667,982,0.6792260692464358
06001409300,632,995,1627,0.6115550092194223
06001409400,472,796,1268,0.6277602523659306
06001409500,495,636,1131,0.5623342175066313
06001409600,697,787,1484,0.5303234501347709
06001409700,686,891,1577,0.5649968294229549
06001409800,390,904,1294,0.6986089644513137
06001409900,254,1169,1423,0.8215038650737878
06001410000,205,1022,1227,0.8329258353708231
06001410100,375,725,1100,0.6590909090909091
06001410200,371,756,1127,0.6708074534161491
06001410300,415,608,1023,0.5943304007820137
06001410400,390,961,1351,0.7113249444855663
06001410500,561,364,925,0.3935135135135135
06001420100,217,674,891,0.7564534231200898
06001420200,572,684,1256,0.5445859872611465
06001420300,1074,873,1947,0.44838212634822805
06001420400,826,303,1129,0.2683790965456156
06001420500,321,653,974,0.6704312114989733
06001420600,265,982,1247,0.7874899759422614
06001421100,102,735,837,0.8781362007168458
06001421200,189,1277,1466,0.8710777626193724
06001421300,319,1259,1578,0.7978453738910013
06001421400,114,511,625,0.8176
06001421500,318,1258,1576,0.7982233502538071
06001421600,371,1166,1537,0.7586206896551724
06001421700,839,735,1574,0.4669631512071156
06001421800,251,608,859,0.7077997671711292
06001421900,626,1106,1732,0.6385681293302541
06001422000,588,340,928,0.36637931034482757
06001422100,579,633,1212,0.5222772277227723
06001422200,641,913,1554,0.5875160875160875
06001422300,869,811,1680,0.48273809523809524
06001422400,1404,663,2067,0.32075471698113206
06001422500,924,515,1439,0.3578874218207088
06001422600,5,21,26,0.8076923076923077
06001422700,653,400,1053,0.3798670465337132
06001422800,945,348,1293,0.2691415313225058
06001422900,1534,594,2128,0.2791353383458647
06001423000,1073,1014,2087,0.4858648778150455
06001423100,976,1000,1976,0.5060728744939271
06001423200,659,483,1142,0.42294220665499127
06001423300,528,1059,1587,0.667296786389414
06001423400,1039,963,2002,0.481018981018981
06001423500,806,680,1486,0.4576043068640646
06001423601,614,600,1214,0.4942339373970346
06001423602,1538,655,2193,0.29867761057911535
06001423700,671,634,1305,0.48582375478927203
06001423800,398,908,1306,0.6952526799387443
06001423901,429,389,818,0.47555012224938875
06001423902,373,339,712,0.476123595505618
06001424001,792,634,1426,0.44460028050490885
06001424002,412,522,934,0.5588865096359743
06001425101,837,322,1159,0.27782571182053495
06001425102,1496,526,2022,0.26013847675568746
06001425103,862,567,1429,0.3967809657102869
06001425104,1286,672,1958,0.3432073544433095
06001426100,314,1864,2178,0.8558310376492194
06001426200,242,1418,1660,0.8542168674698796
06001427100,347,1073,1420,0.7556338028169014
06001427200,773,824,1597,0.5159674389480275
06001427300,795,1263,2058,0.6137026239067055
06001427600,1145,628,1773,0.3542019176536943
06001427700,1053,1181,2234,0.5286481647269472
06001427800,998,1074,2072,0.5183397683397684
06001427900,1124,948,2072,0.4575289575289575
06001428000,894,468,1362,0.3436123348017621
06001428100,786,1197,1983,0.6036308623298033
06001428200,976,1685,2661,0.6332205937617437
06001428301,641,1851,2492,0.742776886035313
06001428302,491,1983,2474,0.801535974130962
06001428400,1230,643,1873,0.3432995194874533
06001428500,766,620,1386,0.44733044733044736
06001428600,873,708,1581,0.4478178368121442
06001428700,678,702,1380,0.508695652173913
06001430101,393,1786,2179,0.8196420376319412
06001430102,160,740,900,0.8222222222222222
06001430200,337,2063,2400,0.8595833333333334
06001430300,214,1120,1334,0.8395802098950524
06001430400,104,612,716,0.8547486033519553
06001430500,651,1435,2086,0.6879194630872483
06001430600,390,1776,2166,0.8199445983379502
06001430700,267,1128,1395,0.8086021505376344
06001430800,555,1554,2109,0.7368421052631579
06001430900,1087,777,1864,0.4168454935622318
06001431000,496,591,1087,0.5436982520699172
06001431100,671,706,1377,0.5127087872185911
06001431200,1153,1343,2496,0.5380608974358975
06001432100,386,1072,1458,0.7352537722908093
06001432200,624,1056,1680,0.6285714285714286
06001432300,491,1164,1655,0.7033232628398791
06001432400,632,1200,1832,0.6550218340611353
06001432501,420,1002,1422,0.7046413502109705
06001432502,520,1016,1536,0.6614583333333334
06001432600,1642,1394,3036,0.45915678524374176
06001432700,265,770,1035,0.7439613526570048
06001432800,228,1214,1442,0.841886269070735
06001433000,295,1076,1371,0.7848285922684172
06001433102,460,924,1384,0.6676300578034682
06001433103,860,550,1410,0.3900709219858156
06001433104,1071,778,1849,0.42076798269334775
06001433200,1291,1481,2772,0.5342712842712842
06001433300,381,1837,2218,0.8282236248872858
06001433400,605,1595,2200,0.725
06001433500,262,1140,1402,0.8131241084165478
06001433600,781,1351,2132,0.6336772983114447
06001433700,490,529,1019,0.5191364082433758
06001433800,1008,1565,2573,0.6082394092499028
06001433900,1381,992,2373,0.41803624104509063
06001434000,835,987,1822,0.5417124039517014
06001435102,509,1065,1574,0.6766200762388819
06001435103,323,2023,2346,0.8623188405797102
06001435104,1370,832,2202,0.37783832879200724
06001435200,254,1251,1505,0.8312292358803987
06001435300,695,945,1640,0.5762195121951219
06001435400,908,873,1781,0.4901740595171252
06001435500,717,813,1530,0.5313725490196078
06001435601,697,903,1600,0.564375
06001435602,632,1041,1673,0.6222355050806934
06001435700,454,1005,1459,0.6888279643591501
06001435800,321,1331,1652,0.8056900726392252
06001435900,289,1344,1633,0.8230251071647275
06001436000,225,1281,1506,0.850597609561753
06001436100,538,1218,1756,0.693621867881549
06001436200,687,581,1268,0.4582018927444795
06001436300,1132,1846,2978,0.6198791134989926
06001436401,921,1927,2848,0.6766151685393258
06001436402,176,882,1058,0.833648393194707
06001436500,939,783,1722,0.4547038327526132
06001436601,720,1142,1862,0.6133190118152524
06001436602,1017,663,1680,0.39464285714285713
06001436700,378,710,1088,0.6525735294117647
06001436800,509,833,1342,0.620715350223547
06001436900,721,1164,1885,0.6175066312997347
06001437000,344,869,1213,0.7164056059356966
06001437101,412,1624,2036,0.7976424361493124
06001437102,626,780,1406,0.5547652916073968
06001437200,736,1608,2344,0.6860068259385665
06001437300,344,615,959,0.6412930135557873
06001437400,154,800,954,0.8385744234800838
06001437500,604,588,1192,0.49328859060402686
06001437600,319,601,920,0.6532608695652173
06001437701,604,422,1026,0.41130604288499023
06001437702,738,374,1112,0.3363309352517986
06001437800,349,1011,1360,0.7433823529411765
06001437900,288,375,663,0.5656108597285068
06001438000,373,772,1145,0.674235807860262
06001438100,474,1671,2145,0.779020979020979
06001438201,304,889,1193,0.7451802179379715
06001438203,301,858,1159,0.7402933563416738
06001438204,594,1253,1847,0.6783974011911207
06001438300,152,721,873,0.8258877434135166
06001438400,153,580,733,0.79126875852660306
06001440100,592,548,1140,0.4807017543859649
06001440200,448,1072,1520,0.7052631578947368
06001440301,633,1611,2244,0.7179144385026738
06001440304,377,930,1307,0.7115531752104055
06001440305,127,934,1061,0.8803016022620169
06001440306,321,705,1026,0.6871345029239766
06001440307,625,1065,1690,0.6301775147928994
06001440308,781,1225,2006,0.6106679960119641
06001440331,337,562,899,0.625139043381535
06001440332,103,815,918,0.8877995642701525
06001440333,153,690,843,0.8185053380782918
06001440334,191,923,1114,0.8285457809694794
06001440335,921,1444,2365,0.6105708245243129
06001440336,471,963,1434,0.6715481171548117
06001441100,457,1218,1675,0.7271641791044776
06001441200,833,1685,2518,0.6691818903891977
06001441301,451,707,1158,0.6105354058721935
06001441302,467,1427,1894,0.7534318901795143
06001441401,833,1552,2385,0.6507337526205451
06001441402,443,1284,1727,0.7434858135495078
06001441501,311,1514,1825,0.8295890410958904
06001441503,753,1641,2394,0.6854636591478697
06001441521,403,1418,1821,0.7786930258099946
06001441522,252,1239,1491,0.8309859154929577
06001441523,637,808,1445,0.5591695501730104
06001441524,435,898,1333,0.673668417104276
06001441601,308,1160,1468,0.7901907356948229
06001441602,930,1482,2412,0.6144278606965174
06001441700,1193,1762,2955,0.5962774957698815
06001441800,910,1470,2380,0.6176470588235294
06001441921,615,648,1263,0.5130641330166271
06001441923,1680,612,2292,0.2670157068062827
06001441924,1034,1624,2658,0.6109857035364936
06001441925,2031,1038,3069,0.33822091886608013
06001441926,963,548,1511,0.3626737260092654
06001441927,1077,711,1788,0.3976510067114094
06001442000,141,880,1021,0.861900097943193
06001442100,311,1319,1630,0.80920245398773
06001442200,363,1904,2267,0.8398764887516542
06001442301,672,976,1648,0.5922330097087378
06001442302,1404,964,2368,0.40709459459459457
06001442400,515,1503,2018,0.744796828543112
06001442500,717,1580,2297,0.6878537222464084
06001442601,368,948,1316,0.7203647416413373
06001442602,565,1076,1641,0.65569774527727
06001442700,272,780,1052,0.7414448669201521
06001442800,179,761,940,0.8095744680851064
06001442900,499,1788,2287,0.7818102317446436
06001443001,152,684,836,0.8181818181818182
06001443002,505,1509,2014,0.7492552135054618
06001443102,198,1313,1511,0.8689609530112509
06001443103,209,1039,1248,0.8325320512820513
06001443104,514,1275,1789,0.7126886528787032
06001443105,270,1269,1539,0.8245614035087719
06001443200,154,1071,1225,0.8742857142857143
06001443301,192,1094,1286,0.8506998444790047
06001443321,631,494,1125,0.4391111111111111
06001443322,135,857,992,0.8639112903225806
06001444100,475,2098,2573,0.815390594636611
06001444200,427,1460,1887,0.7737148913619502
