tract,int,pw1,pw2,pw3,pw4,pw5,pw6
06001400100,0.09536863125991725,-0.010490869138100945,0.014212036584936794,-0.0010845649304635737,2.633710723377793e-5,1.3631072187869668e-7,-9.822116928431746e-9
06001400200,0.05601178918537259,0.0013616321712404008,0.00627378314094772,-1.5940680690994084e-4,-1.258841613498867e-5,7.055911675200985e-7,-1.0269425099341624e-8
06001400300,0.041073387328721817,0.001053227105241601,0.004771566485317416,-2.1802364524871044e-4,6.576226251650306e-6,-1.666635660019531e-7,1.6054492627100634e-9
06001400400,0.029542523732441834,6.148479715105213e-4,0.003796098754758867,-2.49197583127816e-4,2.224344378785058e-5,-1.009433633181236e-6,1.4830122374160355e-8
06001400500,0.02548327752779155,0.007973375781562611,7.412775170737942e-4,2.9510917477247096e-4,-1.8762494962965312e-5,3.524820588307071e-7,-1.7798433359806013e-9
06001400600,0.028775487425766532,0.007317584187358138,0.0010173686092582249,3.4709121398793957e-4,-2.835661254853732e-5,8.084034845106414e-7,-8.64170513737494e-9
06001400700,0.02125191457397291,-6.718455551828754e-6,0.0026772748359918,-1.685973883214429e-4,2.0295971721756863e-5,-9.507562253395254e-7,1.3378955808496327e-8
06001400800,0.024796803886487636,-0.0018443119417766976,0.0037250983273924075,-3.213213523116535e-4,3.0062261538885453e-5,-1.242812071576387e-6,1.6707452263151597e-8
06001400900,0.025654190927156605,-0.0086997409567405,0.005229968419685121,-5.226288735803489e-4,3.806584716888586e-5,-1.2290001751842605e-6,1.3043689054877658e-8
06001401000,0.017801274350771577,0.006901841311296564,7.455169300381349e-5,3.0024503904806007e-4,-1.3592389272399286e-5,9.68098094310018e-8,1.678713081646101e-9
06001401100,0.02209188636631917,-0.0022355350930499543,0.0043912703377016905,-6.125367748067567e-4,6.127224030642006e-5,-2.5140831863674564e-6,3.45881785928686e-8
06001401200,0.028991248009966778,0.002841179801078901,0.0026280809620205835,4.372390636784237e-6,-1.6626521665775989e-6,-4.642664766694552e-8,1.0875774482502025e-9
