tract,int,pw1,pw2,pw3,pw4,pw5
06059042337,23.946600241510207,94.38410380763257,-18.72018982713632,2.996531317642418,-0.1407346322524248,0.002082404653182662
06059042338,34.78271952080803,76.97571544966259,-13.705773741758136,2.515594054601175,-0.11509051729011696,0.0016124559641559867
06059042339,-1.7278119611180651,71.82424480278597,-15.575322842536382,2.34622025310287,-0.09982902726223719,0.0013297837284183414
06059052404,15.533394580198951,80.98702104849046,-16.048287195587775,2.5455931922934036,-0.11764118747277523,0.0017115600624637729
06059052408,35.56233515281862,163.4946594816712,-35.92034615960159,5.9384994567146885,-0.28719706139225004,0.0043661556158650985
06059052410,-2.6115081739231467,98.46614930882713,-21.601994958750804,3.176086376078322,-0.12877597510870015,0.0016171326049819147
06059052411,3.291014226939386,120.56702140985851,-25.75562683470454,3.694699217480987,-0.1629217320180822,0.0022962371412260205
06059052415,30.049619184696496,99.44742450469369,-18.857052834311414,3.062009714665649,-0.14386340683705304,0.0021228931184566636
06059052416,6.493202687498781,98.58016910461365,-22.46124943476727,3.47712750214355,-0.1604729642093443,0.002348684255087842
06059052417,26.948207935590528,121.14869261717034,-25.506182756365348,4.323210721738321,-0.1947004930986171,0.0027211510185026597
06059052418,-137.39264766811777,407.6175714559932,-94.57217609378527,12.50539736153475,-0.49487291785128246,0.006160294827446114
06059052419,41.44754062387777,63.42982854571458,-9.399190036302928,1.8676989286522228,-0.09413355072012829,0.0014449094316864304
06059052420,161.03254689020608,388.9700725721053,-68.80887394882511,12.404859535727896,-0.5891757105186431,0.008632250905374941
06059052421,23.327546958210522,106.88747801507562,-21.225726409306997,3.4649317799332056,-0.15788526716530663,0.002249066020455757
06059052422,35.6505068939791,175.4223620388917,-34.6945748612416,5.682401917756309,-0.26391317853463075,0.0038364417652840275
06059052423,-37.718877684073234,149.05068735831506,-34.994189218624754,4.710033382105476,-0.1980004399441082,0.0026698103576838265
06059052424,-21.608915069144487,104.91705465001884,-25.41438359929046,3.609666761555307,-0.151081847348712,0.0020020346359458864
06059052425,-10.853622303696381,101.89034442678805,-23.86196251043558,3.5258250336445607,-0.14700500628797233,0.0019191342862875619
06059052426,67.21437893744968,392.88792509463565,-79.223438871359,12.806715056217055,-0.5878033044854571,0.008454932574528558
06059052427,14.07877853692479,122.61870507629573,-28.064646103308885,4.5922675828552775,-0.21911710669339726,0.0032894559799888025
06059052428,52.1417853679207,113.05699165824568,-21.47898102736658,4.052512207339263,-0.19866150134699453,0.002995387900794912
06059052502,8.322115459450977,108.2714847248298,-24.30048810080982,3.83546827283625,-0.17082635191892026,0.002391091989752126
06059052505,-14.584125936350107,79.55131659608527,-18.6318390921039,2.625320210479207,-0.10192573033529027,0.0012144162392581522
06059052506,8.051932055380732,60.27753845485735,-13.311924592539846,2.1012838043967306,-0.09756889961515164,0.0014322568850466569
06059052511,30.746969640092264,115.64860407449986,-23.60464803622773,3.9931423611903627,-0.188536400956282,0.002779625186674389
06059052513,5.904832087469232,107.91149674480202,-22.919763177198746,3.5248210002218316,-0.15574947381842932,0.002165457162088844
06059052514,21.08556352302052,81.10623555371873,-16.444077041326384,2.8559230088952545,-0.1308890836679112,0.0018566917520845376
06059052515,-7.897707609239808,151.0047345647673,-32.4375891048898,4.86853084189013,-0.21040809618301262,0.0028573358223898193
06059052517,-44.97301454717664,212.3270980499486,-49.90540819633501,7.084885135571989,-0.30161318081232535,0.004076062595501458
06059052518,-192.10828232502277,230.83265767791417,-61.888425895263524,6.7426221274556735,-0.24072954041460307,0.0027341104484657317
06059052519,-15.035717202091899,79.61966601633775,-18.52327742910468,2.615204346463693,-0.10853444072811619,0.001421958157214903
06059052520,14.98135361443937,51.35518399729551,-10.417262213279486,1.829257046887167,-0.08304459895057953,0.0011638345823683166
06059052521,-87.08034663649363,127.56951106297645,-33.16668086272859,3.8343582542244365,-0.13924382989877462,0.0015895040052128252
06059052522,6.231353101818782,99.94017188985596,-21.286629126034644,3.213395869993133,-0.1460618611734873,0.0021079886851429843
06059052523,-9.482856037871528,102.68393473356033,-23.22885649593963,3.3647335807173993,-0.14909882955929807,0.0021076916487123764
06059052524,-52.62689814807515,179.6870880988663,-42.56047787229586,5.6713940672102945,-0.2327936657937077,0.003050811743817618
06059052525,8.974772603031091,320.42027381669243,-67.71754351762058,10.493445317074464,-0.4545437913617055,0.006150984522144885
06059052526,10.114882108436197,109.47736148017512,-23.713750881515864,3.582245510546753,-0.16250630718699344,0.0023430984378426563
06059052527,13.422396110078973,184.83536375515484,-40.88802497029574,6.364859589819305,-0.2921501378600499,0.004241889027599714
06059052528,9.03001172316339,69.99795547230231,-14.635229397347226,2.297802440523851,-0.10389933252126948,0.0014789668523105387
06059062604,153.36092129120874,289.3810472327937,-43.99023286557899,7.966971551703407,-0.37880257402248946,0.005538017412856459
06059062605,-8.773585341832089,64.8036540549649,-13.81214642554822,1.9219174437574227,-0.0763484417569367,9.400772927118169e-4
06059062610,-265.4417378220942,334.5040686215177,-89.20895818749044,9.863938156555221,-0.35201356136441786,0.0039734024498212514
06059062611,-37.36151517065166,70.94203872015936,-17.196366472618646,2.0469335641070288,-0.07225904634949923,7.745285487053663e-4
06059062612,45.012236951579155,170.85360200676564,-34.10664498181048,5.644402485916838,-0.2641113163583371,0.003869675698235802
06059062614,-16.895816723154564,106.89753595082605,-18.658336105840796,2.1692241024458254,-0.05142104525018063,4.552881106170227e-5
06059062619,44.25345786186429,88.3711397506214,-13.702930861056174,2.3966393074124026,-0.11300862985240263,0.0016468193279890627
06059062620,75.40361790415078,105.58184076138907,-15.509900790670805,3.2283789365001905,-0.1628268344618225,0.0024870939278755478
06059062621,-1.0776345183815628,233.41643088117445,-50.27635072492119,7.577616210589002,-0.32898464958264134,0.004494250818601491
06059062622,-11.031708547403184,24.597222947766188,-2.84517956028932,0.061567169930795286,0.03656107679248824,-0.001126553297818549
06059062625,0.8466576554935205,27.79939937331611,-3.723113814705167,0.42428345005561335,0.007608282239252253,-5.335790786631895e-4
06059062626,-13.443901697618381,23.790947952073836,-5.0378346527518385,0.5084755643352841,-0.006312393524109135,-1.5082858634169545e-4
06059062627,-15.233723675888493,33.50049906903827,-7.124279917258411,0.8036251095737101,-0.01953877162491245,3.820850864245536e-5
06059062628,-2.740261373571153,46.46703318937495,-9.2560651891159509,1.2983238267446413,-0.05096047344051144,6.148082032003195e-4
